date,Kontakty PAQ,Odhad počtu kontaktů z Google Mobility Report
2020-03-22,8.17043581,10.187033376343145
2020-03-29,7.179936932,10.581542683346232
2020-04-05,9.562714587,11.125310678912706
2020-04-12,9.345250192,10.665142616533137
2020-04-19,10.7712451,10.352327360635243
2020-04-26,11.11378159,11.74553687871623
2020-05-03,12.84187918,12.66470993419029
2020-05-10,13.52272448,13.513359105291752
2020-05-17,15.57185172,15.381332789378597
2020-05-24,16.732068599999998,16.545179441321554
2020-05-31,18.74806069,18.063407305705592
2020-06-07,20.10549917,19.083529340808475
2020-06-14,22.55646343,19.97760913405755
2020-06-21,23.85786647,20.521185232340834
2020-06-28,23.25969703,21.097993422366063
2020-07-05,22.66152759,21.73523643130907
2020-07-12,22.931164399999997,21.20254848959865
2020-07-19,22.5026175,22.34440506795417
2020-07-26,22.0740706,22.222821206129666
2020-08-02,21.87557013,21.721653404066018
2020-08-09,22.0447462,21.715138924229674
2020-08-16,22.21392228,22.46773308644125
2020-08-23,23.13486557,22.141951711004932
2020-08-30,23.3073678,22.026319489038066
2020-09-06,23.47987003,21.424305433213686
2020-09-13,23.74928823,21.26184234126918
2020-09-20,22.69046394,21.11453412752297
2020-09-27,21.89885336,20.025002844013894
2020-10-04,21.11768494,18.33173113171385
2020-10-11,19.89174081,18.33031310018783
2020-10-18,15.8962215431531,15.248777636688992
2020-10-25,14.521802362534098,13.192471700594366
2020-11-01,13.265306319,11.02040762338504
2020-11-08,12.916212232574,11.833621762092593
2020-11-15,14.275910852985803,12.302545322814431
2020-11-22,14.435516034462099,12.131484617363583
2020-11-29,14.8908635403767,12.680865514659585
2020-12-06,15.9811744063256,16.30147748055735
2020-12-13,16.1411169692591,18.59378958089596
2020-12-20,16.1613272936655,17.6277586215813
2020-12-27,13.348299343041699,12.086976495019869
2021-01-03,9.11788861439116,10.065695001769127
2021-01-10,11.364801483840699,11.465007080015198
2021-01-17,13.6117143532902,11.685397549368156
2021-01-24,13.344547135799301,11.91554892633603
2021-01-31,13.266368141113501,12.013875125595893
2021-02-07,13.1881891464276,11.868054762094266
2021-02-14,13.123173654198899,12.062824935514834
2021-02-21,12.0533207081284,12.439804117960328
2021-02-28,12.0810201802125,13.19845554501941
2021-03-07,10.9707410806423,11.653845205153981
2021-03-14,10.419913389777,12.075224374491349
2021-03-21,11.6388520530888,12.010639278105524
2021-03-28,11.4967858674505,12.602450095900368
2021-04-04,11.425752289571301,12.880599238658345
2021-04-11,11.489641895901698,12.26711389212442
2021-04-18,12.5613550450871,13.866503603201803
2021-04-25,13.6330681942724,14.593009674203955
2021-05-02,14.1626417036791,14.504750916119708
2021-05-09,14.8611055698758,15.040405547031636
2021-05-16,15.5595694360725,17.66954170139078
2021-05-23,16.1156778789017,17.905503048075815
2021-05-30,17.1585092149529,17.895068265908577
2021-06-06,18.2013405510042,19.988232675506886
2021-06-13,19.244171887055398,20.286631575772933
2021-06-20,20.0105823633995,20.36379742813026
2021-06-27,19.4545201535832,20.538108163063573
2021-07-04,18.8984579437669,21.130017163561174
2021-07-11,18.3423957339506,19.679315619902056
2021-07-18,18.872913948136603,21.596002399065696
2021-07-25,19.3123988711123,21.672119593591972
2021-08-01,19.751883794088,21.50161812641593
2021-08-08,20.1913687170636,21.82881393167437
2021-08-15,20.6308536400393,22.502094698723816
2021-08-22,19.964796446064803,22.210737312001513
2021-08-29,20.670209812891,21.77876006607723
2021-09-05,21.3756231797172,21.99274395216637
2021-09-12,22.081036546543398,21.687513458215072
2021-09-19,22.7864499133696,21.22113541685652
2021-09-26,23.155591715168,20.96556622152765
2021-10-03,21.113228141890303,20.114376701767345
2021-10-10,22.240358535437604,20.371351554509996
2021-10-17,21.3697042985725,20.674484732799197
2021-10-24,20.4990500617073,20.504092731196227
2021-10-31,19.6283958248422,19.854119614974824
2021-11-07,18.990752142231,19.317149678404963
2021-11-14,18.7590109836077,19.541917665077655
2021-11-21,18.5272698249843,19.166257628873304
2021-11-28,17.360412149946,18.78021327652374
2021-12-05,17.6945470444061,18.5499704565581
2021-12-12,18.028681938866104,19.225257096271875
2021-12-19,18.3628168333262,20.490158352833518
2021-12-26,17.629173027719,16.695923469667544
2022-01-02,17.7175018217342,16.116587543975026
2022-01-09,17.8058306157493,17.666852479183667
2022-01-16,17.894159409764498,18.167086259693782
2022-01-23,18.0907168365731,17.73772795355524
2022-01-30,18.1621677678977,17.517186802774148
2022-02-06,18.233618699222397,17.827415323453703
2022-02-13,18.305069630547,18.963859908650534
2022-02-20,19.209488757068,19.462738497768893
2022-02-27,,19.13358704698883
2022-03-06,,18.489578422495928
2022-03-13,,18.74142078177764
2022-03-20,,18.933553992837158
2022-03-27,,19.34845832919269
2022-04-03,,18.60819919682282
2022-04-10,,18.831285866967196
2022-04-17,,20.201109995455848
2022-04-24,,18.4797281045866
2022-05-01,,19.77977972313996
2022-05-08,,19.73523806610761
2022-05-15,,21.20809070619119
2022-05-22,,20.53901201275305
2022-05-29,,20.02091454026168
2022-06-05,,20.404499645541282
2022-06-12,,20.155059566481828
2022-06-19,,20.33046017510125
2022-06-26,,20.077701816841316
2022-07-03,,20.27237310497701
2022-07-10,,18.72959969489316
2022-07-17,,20.58107773026137
2022-07-24,,20.022174448072455
2022-07-31,,20.504700388733887
2022-08-07,,20.521241093890794
2022-08-14,,21.20519876753337
2022-08-21,,20.6983680754768
2022-08-28,,20.33768230305787
2022-09-04,,20.616760296664935
2022-09-11,,19.82092427096561
2022-09-18,,19.885468151496376
2022-09-25,,20.218744619666868
