date,Kontakty PAQ,Odhad počtu kontaktů z Google Mobility Report
2020-03-22,8.17043581,8.17043581
2020-03-29,7.179936932,8.460743678241382
2020-04-05,9.562714587,7.592804327217859
2020-04-12,9.345250192,9.993737790876073
2020-04-19,10.7712451,9.113623520553963
2020-04-26,11.11378159,11.700565420094708
2020-05-03,12.84187918,11.61071445695842
2020-05-10,13.52272448,13.502838161440891
2020-05-17,15.57185172,14.983940387687472
2020-05-24,16.732068599999998,16.15833091498315
2020-05-31,18.74806069,17.511053349586675
2020-06-07,20.10549917,19.42047266354056
2020-06-14,22.55646343,20.5812862251569
2020-06-21,23.85786647,22.89101892080247
2020-06-28,23.25969703,24.472739561932954
2020-07-05,22.66152759,23.37683005227151
2020-07-12,22.931164399999997,22.23206754779439
2020-07-19,22.5026175,23.684762517682714
2020-07-26,22.0740706,22.553488085004464
2020-08-02,21.87557013,21.83623887265189
2020-08-09,22.0447462,21.85129147651362
2020-08-16,22.21392228,22.548381700331724
2020-08-23,23.13486557,22.134537518306878
2020-08-30,23.3073678,23.17240389493525
2020-09-06,23.47987003,23.419346273930834
2020-09-13,23.74928823,23.57907483716458
2020-09-20,22.69046394,23.61260631896859
2020-09-27,21.89885336,21.83666291647698
2020-10-04,21.11768494,21.227165582285508
2020-10-11,19.89174081,20.857654954387286
2020-10-18,15.8962215431531,18.033675258848167
2020-10-25,14.521802362534098,15.0615795368871
2020-11-01,13.265306319,13.190263581796287
2020-11-08,12.916212232574,13.799752015999227
2020-11-15,14.275910852985803,13.235717472307416
2020-11-22,14.435516034462099,14.33613795719059
2020-11-29,14.8908635403767,14.798077339912748
2020-12-06,15.9811744063256,16.94510920763927
2020-12-13,16.1411169692591,17.259864036714514
2020-12-20,16.1613272936655,15.744811204980664
2020-12-27,13.348299343041699,12.933747078011057
2021-01-03,9.11788861439116,12.267716971036815
2021-01-10,11.364801483840699,9.966518245728015
2021-01-17,13.6117143532902,11.591346396953405
2021-01-24,13.344547135799301,13.802780529869185
2021-01-31,13.266368141113501,13.476862070898413
2021-02-07,13.1881891464276,13.162363128532311
2021-02-14,13.123173654198899,13.540361867394362
2021-02-21,12.0533207081284,13.416571786721558
2021-02-28,12.0810201802125,12.500655394439585
2021-03-07,10.9707410806423,10.987036870806243
2021-03-14,10.419913389777,11.182245159902829
2021-03-21,11.6388520530888,10.484033052430005
2021-03-28,11.4967858674505,12.297305859485556
2021-04-04,11.425752289571301,11.813788476075597
2021-04-11,11.489641895901698,11.128371355921615
2021-04-18,12.5613550450871,12.457420358081269
2021-04-25,13.6330681942724,13.386882443815496
2021-05-02,14.1626417036791,13.635298476860509
2021-05-09,14.8611055698758,14.744276154888919
2021-05-16,15.5595694360725,16.263601031669847
2021-05-23,16.1156778789017,15.684551923227367
2021-05-30,17.1585092149529,16.39464361377355
2021-06-06,18.2013405510042,18.307691045226367
2021-06-13,19.244171887055398,18.40285396714823
2021-06-20,20.0105823633995,19.338085971590274
2021-06-27,19.4545201535832,20.208032526908728
2021-07-04,18.8984579437669,19.68992655236082
2021-07-11,18.3423957339506,17.83496439917566
2021-07-18,18.872913948136603,19.599027004675044
2021-07-25,19.3123988711123,19.022245914040223
2021-08-01,19.751883794088,19.203552839068887
2021-08-08,20.1913687170636,19.99536509952036
2021-08-15,20.6308536400393,20.741740724502616
2021-08-22,19.964796446064803,20.472971169621566
2021-08-29,20.670209812891,19.724962630864315
2021-09-05,21.3756231797172,21.24830057234095
2021-09-12,22.081036546543398,21.47815192977603
2021-09-19,22.7864499133696,21.873470927648338
2021-09-26,23.155591715168,22.577855194975687
2021-10-03,21.113228141890303,22.5101048246771
2021-10-10,22.240358535437604,21.317949554326802
2021-10-17,21.3697042985725,22.35941615604659
2021-10-24,20.4990500617073,21.33590921247662
2021-10-31,19.6283958248422,20.15659407895594
2021-11-07,18.990752142231,19.36739599984591
2021-11-14,18.7590109836077,19.050007438457556
2021-11-21,18.5272698249843,18.48449894063101
2021-11-28,17.360412149946,18.35786883410469
2021-12-05,17.6945470444061,17.25290562700292
2021-12-12,18.028681938866104,18.10689233481321
2021-12-19,18.3628168333262,18.74767168648007
2021-12-26,17.629173027719,16.163015565701276
2022-01-02,,17.31576137633155
2022-01-09,,18.18373997539465
2022-01-16,,19.680394355565507
